00000722,0000290E,1,17,0,
00001DCE,000027F0,4,14,0,
000014BC,00002D4A,3,59,0,
0000111E,00001942,2,4,0,
00000744,00002990,1,19,0,
00000056,000027C6,1,14,0,
00000AE2,00001EA8,1,5,0,
00000B64,000025CA,1,10,0,
00002232,0000252C,7,9,0,
0000258E,000027A8,10,13,0,
000006C4,00001DFC,1,4,0,
0000039E,00001956,1,4,0,
00000B4C,00000DDE,1,2,0,
0000126E,00001CA4,3,4,0,
000007B8,00000E98,1,2,0,
00002978,00002E3C,19,99,0,
0000049A,00002356,1,8,0,
0000184A,00002A9A,3,24,0,
000018A0,00002E2A,3,94,0,
00000310,00001C64,1,4,0,
0000014C,000012F8,1,3,0,
00000E74,00001FB2,2,5,0,
000005F4,00002D3C,1,57,0,
00001824,00001D2A,3,4,0,
000004CA,00001B7C,1,4,0,
0000120C,00001EF2,3,5,0,
00000912,00002D28,1,56,0,
00000278,00000EE4,1,2,0,
0000102A,000024C2,2,9,0,
00000E22,000017E2,2,3,0,
00001024,0000277C,2,13,0,
00000638,000021A8,1,6,0,
0000052C,00001C1A,1,4,0,
000014AA,0000254A,3,10,0,
00000BF8,00002B10,1,28,0,
00001ACC,000022F0,4,7,0,
0000173E,00001A1C,3,4,0,
00001D18,00002624,4,11,0,
00001C96,0000267C,4,12,0,
00001BB0,00002AB8,4,25,0,
00000864,00001FD6,1,5,0,
00001888,00002C56,3,41,0,
00000358,00001156,1,2,0,
00000AFA,00002D70,1,62,0,
00000884,00000F46,1,2,0,
000000BE,000010C2,1,2,0,
00000F74,000014DE,2,3,0,
00000AF2,000020B0,1,6,0,
0000241E,000027DE,8,14,0,
00001266,00001932,3,4,0,
000004A0,00002E90,1,132,0,
00001BE0,00002D38,4,57,0,
00000B9C,000020F2,1,6,0,
0000025A,00001400,1,3,0,
00000ACE,00002EB0,1,150,0,
00001C24,00002C88,4,43,0,
00000490,0000139A,1,3,0,
00001554,000025AA,3,10,0,
00000008,00001640,1,3,0,
00000B28,000029D6,1,20,0,
00000642,000027E6,1,14,0,
00001D96,000025C0,4,10,0,
0000059C,00001B98,1,4,0,
00000BA4,00001F14,1,5,0,
000000B8,000017AC,1,3,0,
00000C54,00001F26,2,5,0,
000002A4,00001ABA,1,4,0,
00000D72,00002054,2,6,0,
000016E0,00001A34,3,4,0,
00001640,000022D0,3,7,0,
0000006E,00001866,1,3,0,
00001AD2,00002932,4,18,0,
00000E00,00002960,2,18,0,
