00000CA6,00002E7E,2,122,0,
00000DE6,0000297C,2,19,000026BC,00002B6A,12,30,0,
00001628,00002AD0,3,26,000015FA,00001BD6,3,4,0,
00001BF6,00001E86,4,5,000016A8,00001F42,3,5,0,
00000F70,000014D0,2,3,0,
00000108,000015D0,1,3,00000D5C,000011F6,2,3,0,
0000161E,00002AF6,3,27,000007CA,00000D6C,1,2,0,
00000460,0000173C,1,3,0,
000003A8,00001688,1,3,0,
00000DDE,00002D24,2,55,0,
00000978,00002910,1,17,0000213A,00002926,6,17,0,
00000F0A,0000126C,2,3,000001E6,0000164A,1,3,0,
0000126A,00002B1A,3,28,0,
0000027A,00002060,1,6,0000074A,00002460,1,9,0,
00002564,000026AA,10,12,00000ABC,00000DF0,1,2,0,
00000958,00001252,1,3,0,
0000091C,000015FA,1,3,000000C8,00000D24,1,2,0,
00001034,000013E0,2,3,0,
00000BB2,00001CC6,1,4,0,
00000D98,0000200C,2,6,00002AA8,00002C4A,25,40,0,
00001828,00002168,3,6,00000952,00000DDC,1,2,0,
00000306,00001D1C,1,4,0000109C,00001490,2,3,0,
00001E8E,000021A4,5,6,00001888,00002438,3,8,0,
00002A1A,00002CF6,21,52,00000A18,00000E1E,1,2,0,
00000016,00000EE6,1,2,0000104A,0000173C,2,3,0,
00001C00,00002AEC,4,27,000029BC,000029F8,20,21,0,
00000956,00002EE4,1,197,00001086,0000229C,2,7,0,
00001E0E,00001EA8,4,5,0,
0000283C,00002BEA,15,35,00001622,000027FC,3,14,0,
0000029C,0000282A,1,15,000013D4,000023EC,3,8,0,
00000678,00001A64,1,4,000008D6,00001548,1,3,0,
00000438,000016F4,1,3,0000044E,00001F62,1,5,0,
000000A2,00001F14,1,5,00000BE0,0000149A,1,3,0,
00000896,000024C8,1,9,00002E1E,00002ED6,92,181,6,
00000800,00002186,1,6,0,
00000274,000026AA,1,12,0,
0000064E,000018AA,1,3,000011D0,000027B2,3,13,0,
00000686,00001B46,1,4,00000676,00000C50,1,2,0,
0000063A,00000E60,1,2,00000A72,000014F8,1,3,0,
00000524,00001E8E,1,5,000007FC,00000E6E,1,2,0,
000015D0,00002E38,3,98,00001388,000023CA,3,8,0,
00000C62,000017A0,2,3,0,
0000186A,00001A5C,3,4,0,
00000B0A,000017D6,1,3,0000175E,00001ADE,3,4,0,
000023B4,00002CAE,8,46,0,
00000EA0,00002C6E,2,42,00000F74,00002BE2,2,35,0,
